CUSTOMERID,RECENCY,FREQUENCY,MONETARY,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,RFM_SCORE,SEGMENT
15838,12,19,33643.08,5,1,1,511,"POTENTIAL LOYALISTS"
17404,5,15,31906.82,5,1,1,511,"POTENTIAL LOYALISTS"
17389,1,34,31833.68,5,1,1,511,"POTENTIAL LOYALISTS"
13098,2,28,28882.44,5,1,1,511,"POTENTIAL LOYALISTS"
14680,26,16,28754.11,4,1,1,411,"POTENTIAL LOYALISTS"
13081,12,11,28337.38,5,1,1,511,"POTENTIAL LOYALISTS"
13408,2,62,28117.04,5,1,1,511,"POTENTIAL LOYALISTS"
17857,5,23,26879.04,5,1,1,511,"POTENTIAL LOYALISTS"
16333,8,22,26626.80,5,1,1,511,"POTENTIAL LOYALISTS"
13777,1,33,25977.16,5,1,1,511,"POTENTIAL LOYALISTS"
12753,23,6,21429.39,4,1,1,411,"POTENTIAL LOYALISTS"
12744,52,7,21279.29,3,1,1,311,OTHERS
16210,2,18,21086.30,5,1,1,511,"POTENTIAL LOYALISTS"
17675,2,31,20374.28,5,1,1,511,"POTENTIAL LOYALISTS"
17381,9,29,20275.61,5,1,1,511,"POTENTIAL LOYALISTS"
15039,10,47,19914.44,5,1,1,511,"POTENTIAL LOYALISTS"
12471,3,30,19824.05,5,1,1,511,"POTENTIAL LOYALISTS"
12731,24,12,18895.91,4,1,1,411,"POTENTIAL LOYALISTS"
15159,2,30,18641.01,5,1,1,511,"POTENTIAL LOYALISTS"
12901,9,28,17654.54,5,1,1,511,"POTENTIAL LOYALISTS"
12678,43,12,17628.46,3,1,1,311,OTHERS
14031,8,19,17286.86,5,1,1,511,"POTENTIAL LOYALISTS"
17428,1,28,17256.85,5,1,1,511,"POTENTIAL LOYALISTS"
13767,3,37,17220.36,5,1,1,511,"POTENTIAL LOYALISTS"
13881,4,20,17159.52,5,1,1,511,"POTENTIAL LOYALISTS"
16839,9,34,16594.35,5,1,1,511,"POTENTIAL LOYALISTS"
12921,10,37,16587.09,5,1,1,511,"POTENTIAL LOYALISTS"
14607,16,14,16569.50,4,1,1,411,"POTENTIAL LOYALISTS"
15856,5,27,16387.57,5,1,1,511,"POTENTIAL LOYALISTS"
17677,2,30,16363.23,5,1,1,511,"POTENTIAL LOYALISTS"
15189,2,41,16225.39,5,1,1,511,"POTENTIAL LOYALISTS"
14051,1,23,15610.39,5,1,1,511,"POTENTIAL LOYALISTS"
15513,34,19,14758.22,3,1,1,311,OTHERS
16133,4,33,14589.04,5,1,1,511,"POTENTIAL LOYALISTS"
14866,11,12,14389.90,5,1,1,511,"POTENTIAL LOYALISTS"
16705,1,20,14034.99,5,1,1,511,"POTENTIAL LOYALISTS"
12681,15,22,13787.54,4,1,1,411,"POTENTIAL LOYALISTS"
12621,2,20,13689.67,5,1,1,511,"POTENTIAL LOYALISTS"
12540,20,17,13400.24,4,1,1,411,"POTENTIAL LOYALISTS"
12433,1,7,13375.87,5,1,1,511,"POTENTIAL LOYALISTS"
15498,3,27,13316.40,5,1,1,511,"POTENTIAL LOYALISTS"
12477,23,6,13219.74,4,1,1,411,"POTENTIAL LOYALISTS"
17735,3,19,13110.02,5,1,1,511,"POTENTIAL LOYALISTS"
16525,3,26,13027.45,5,1,1,511,"POTENTIAL LOYALISTS"
14258,10,9,12669.98,5,1,1,511,"POTENTIAL LOYALISTS"
13078,4,26,12627.94,5,1,1,511,"POTENTIAL LOYALISTS"
12536,44,3,12601.83,3,3,1,331,OTHERS
15640,5,15,12515.66,5,1,1,511,"POTENTIAL LOYALISTS"
16000,3,3,12393.70,5,3,1,531,"POTENTIAL LOYALISTS"
17340,30,11,12353.29,4,1,1,411,"POTENTIAL LOYALISTS"
12682,4,31,12288.22,5,1,1,511,"POTENTIAL LOYALISTS"
13113,1,24,12245.96,5,1,1,511,"POTENTIAL LOYALISTS"
14606,2,93,12156.65,5,1,1,511,"POTENTIAL LOYALISTS"
12557,17,5,11990.96,4,2,1,421,"POTENTIAL LOYALISTS"
12939,65,8,11581.80,3,1,1,311,OTHERS
15125,26,15,11528.48,4,1,1,411,"POTENTIAL LOYALISTS"
14194,5,21,11349.52,5,1,1,511,"POTENTIAL LOYALISTS"
12971,4,86,11189.91,5,1,1,511,"POTENTIAL LOYALISTS"
14895,8,20,11138.71,5,1,1,511,"POTENTIAL LOYALISTS"
12409,79,3,11072.67,2,2,1,221,"AT RISK"
15482,16,12,11054.96,4,1,1,411,"POTENTIAL LOYALISTS"
17581,1,25,11045.04,5,1,1,511,"POTENTIAL LOYALISTS"
13319,6,26,10845.55,5,1,1,511,"POTENTIAL LOYALISTS"
17107,34,6,10815.43,3,1,1,311,OTHERS
13340,46,7,10736.48,3,1,1,311,OTHERS
14769,3,8,10674.75,5,1,1,511,"POTENTIAL LOYALISTS"
17139,16,12,10668.47,4,1,1,411,"POTENTIAL LOYALISTS"
16779,3,22,10629.72,5,1,1,511,"POTENTIAL LOYALISTS"
17865,31,20,10526.32,4,1,1,411,"POTENTIAL LOYALISTS"
17706,5,17,10504.49,5,1,1,511,"POTENTIAL LOYALISTS"
15251,10,11,10484.99,5,1,1,511,"POTENTIAL LOYALISTS"
14062,10,12,10464.85,5,1,1,511,"POTENTIAL LOYALISTS"
15615,11,23,10399.74,5,1,1,511,"POTENTIAL LOYALISTS"
15502,16,12,10384.93,4,1,1,411,"POTENTIAL LOYALISTS"
16180,101,8,10254.18,2,1,1,211,"AT RISK"
16843,43,16,10196.57,3,1,1,311,OTHERS
12590,212,2,9864.26,1,3,1,131,OTHERS
13001,5,13,9818.82,5,1,1,511,"POTENTIAL LOYALISTS"
13199,4,38,9817.12,5,1,1,511,"POTENTIAL LOYALISTS"
15078,8,32,9743.11,5,1,1,511,"POTENTIAL LOYALISTS"
12709,16,15,9736.52,4,1,1,411,"POTENTIAL LOYALISTS"
13458,8,14,9646.57,5,1,1,511,"POTENTIAL LOYALISTS"
14733,17,12,9585.91,4,1,1,411,"POTENTIAL LOYALISTS"
16523,2,21,9418.47,5,1,1,511,"POTENTIAL LOYALISTS"
12567,23,10,9401.28,4,1,1,411,"POTENTIAL LOYALISTS"
14367,9,16,9261.52,5,1,1,511,"POTENTIAL LOYALISTS"
14667,11,25,9241.20,5,1,1,511,"POTENTIAL LOYALISTS"
18092,3,11,9068.26,5,1,1,511,"POTENTIAL LOYALISTS"
13969,8,18,9053.94,5,1,1,511,"POTENTIAL LOYALISTS"
12451,11,5,9035.52,5,2,1,521,"POTENTIAL LOYALISTS"
13488,18,13,8968.31,4,1,1,411,"POTENTIAL LOYALISTS"
13090,9,14,8910.82,5,1,1,511,"POTENTIAL LOYALISTS"
16033,6,20,8816.40,5,1,1,511,"POTENTIAL LOYALISTS"
17017,3,20,8694.26,5,1,1,511,"POTENTIAL LOYALISTS"
17243,2,26,8676.85,5,1,1,511,"POTENTIAL LOYALISTS"
17306,11,19,8631.31,5,1,1,511,"POTENTIAL LOYALISTS"
16656,23,15,8625.80,4,1,1,411,"POTENTIAL LOYALISTS"
14527,3,55,8508.82,5,1,1,511,"POTENTIAL LOYALISTS"
12683,5,15,8476.57,5,1,1,511,"POTENTIAL LOYALISTS"
18139,18,6,8438.34,4,1,1,411,"POTENTIAL LOYALISTS"
15358,5,22,8347.20,5,1,1,511,"POTENTIAL LOYALISTS"
16558,1,20,8338.49,5,1,1,511,"POTENTIAL LOYALISTS"
14056,2,23,8214.65,5,1,1,511,"POTENTIAL LOYALISTS"
14936,34,8,8137.02,3,1,1,311,OTHERS
16672,3,20,8134.94,5,1,1,511,"POTENTIAL LOYALISTS"
13854,9,25,8109.52,5,1,1,511,"POTENTIAL LOYALISTS"
14952,60,11,8099.49,3,1,1,311,OTHERS
18109,2,26,8052.97,5,1,1,511,"POTENTIAL LOYALISTS"
14796,2,17,8022.49,5,1,1,511,"POTENTIAL LOYALISTS"
12428,26,9,7956.46,4,1,1,411,"POTENTIAL LOYALISTS"
15290,5,18,7943.22,5,1,1,511,"POTENTIAL LOYALISTS"
14849,22,25,7930.54,4,1,1,411,"POTENTIAL LOYALISTS"
12757,16,13,7857.10,4,1,1,411,"POTENTIAL LOYALISTS"
17811,5,39,7837.73,5,1,1,511,"POTENTIAL LOYALISTS"
13093,276,8,7832.47,1,1,1,111,"AT RISK"
12435,80,2,7829.89,2,3,1,231,OTHERS
13629,24,11,7792.36,4,1,1,411,"POTENTIAL LOYALISTS"
15044,20,17,7700.23,4,1,1,411,"POTENTIAL LOYALISTS"
15194,4,15,7616.53,5,1,1,511,"POTENTIAL LOYALISTS"
18172,15,20,7561.68,4,1,1,411,"POTENTIAL LOYALISTS"
13263,2,35,7454.07,5,1,1,511,"POTENTIAL LOYALISTS"
12474,18,18,7375.79,4,1,1,411,"POTENTIAL LOYALISTS"
12980,158,9,7374.90,2,1,1,211,"AT RISK"
15465,20,18,7354.62,4,1,1,411,"POTENTIAL LOYALISTS"
17396,40,8,7330.80,3,1,1,311,OTHERS
12583,3,15,7281.38,5,1,1,511,"POTENTIAL LOYALISTS"
13018,17,28,7277.70,4,1,1,411,"POTENTIAL LOYALISTS"
18229,12,20,7276.90,5,1,1,511,"POTENTIAL LOYALISTS"
16923,13,19,7247.61,5,1,1,511,"POTENTIAL LOYALISTS"
16729,39,21,7239.92,3,1,1,311,OTHERS
16745,87,17,7194.30,2,1,1,211,"AT RISK"
16873,5,6,7123.62,5,1,1,511,"POTENTIAL LOYALISTS"
13324,37,10,7121.95,3,1,1,311,OTHERS
13985,5,15,7060.13,5,1,1,511,"POTENTIAL LOYALISTS"
14961,11,9,7044.68,5,1,1,511,"POTENTIAL LOYALISTS"
12766,4,7,6989.63,5,1,1,511,"POTENTIAL LOYALISTS"
12798,11,3,6977.04,5,3,1,531,"POTENTIAL LOYALISTS"
12989,4,15,6924.11,5,1,1,511,"POTENTIAL LOYALISTS"
16713,19,15,6923.13,4,1,1,411,"POTENTIAL LOYALISTS"
13027,114,6,6912.00,2,1,1,211,"AT RISK"
16187,32,15,6911.44,4,1,1,411,"POTENTIAL LOYALISTS"
17416,30,7,6893.42,4,1,1,411,"POTENTIAL LOYALISTS"
12705,16,9,6868.29,4,1,1,411,"POTENTIAL LOYALISTS"
12476,16,11,6816.42,4,1,1,411,"POTENTIAL LOYALISTS"
12830,38,6,6814.64,3,1,1,311,OTHERS
15023,4,11,6802.76,5,1,1,511,"POTENTIAL LOYALISTS"
18055,8,10,6784.19,5,1,1,511,"POTENTIAL LOYALISTS"
15601,12,14,6776.56,5,1,1,511,"POTENTIAL LOYALISTS"
16652,59,7,6773.97,3,1,1,311,OTHERS
16532,18,3,6748.80,4,3,1,431,"POTENTIAL LOYALISTS"
13576,11,18,6717.34,5,1,1,511,"POTENTIAL LOYALISTS"
16746,5,18,6697.66,5,1,1,511,"POTENTIAL LOYALISTS"
15249,32,13,6688.46,4,1,1,411,"POTENTIAL LOYALISTS"
16353,4,23,6675.71,5,1,1,511,"POTENTIAL LOYALISTS"
17338,18,8,6643.93,4,1,1,411,"POTENTIAL LOYALISTS"
12626,24,9,6620.48,4,1,1,411,"POTENTIAL LOYALISTS"
16182,73,4,6617.65,2,2,1,221,"AT RISK"
15144,9,17,6580.44,5,1,1,511,"POTENTIAL LOYALISTS"
12472,33,7,6572.11,3,1,1,311,OTHERS
16814,15,21,6509.10,4,1,1,411,"POTENTIAL LOYALISTS"
12431,36,15,6487.45,3,1,1,311,OTHERS
18223,5,14,6484.54,5,1,1,511,"POTENTIAL LOYALISTS"
15694,1,14,6479.40,5,1,1,511,"POTENTIAL LOYALISTS"
13225,4,7,6463.84,5,1,1,511,"POTENTIAL LOYALISTS"
13102,2,24,6424.09,5,1,1,511,"POTENTIAL LOYALISTS"
13871,23,13,6403.25,4,1,1,411,"POTENTIAL LOYALISTS"
12359,58,4,6372.58,3,2,1,321,OTHERS
13668,3,21,6363.59,5,1,1,511,"POTENTIAL LOYALISTS"
13709,4,13,6328.05,5,1,1,511,"POTENTIAL LOYALISTS"
15005,16,28,6316.57,4,1,1,411,"POTENTIAL LOYALISTS"
17315,2,38,6292.26,5,1,1,511,"POTENTIAL LOYALISTS"
16126,30,4,6287.77,4,2,1,421,"POTENTIAL LOYALISTS"
14057,24,17,6217.96,4,1,1,411,"POTENTIAL LOYALISTS"
12357,34,1,6207.67,3,5,1,351,"LOYAL CUSTOMER"
14060,5,19,6140.42,5,1,1,511,"POTENTIAL LOYALISTS"
13418,12,18,6127.43,5,1,1,511,"POTENTIAL LOYALISTS"
17509,58,8,6115.14,3,1,1,311,OTHERS
15939,90,15,6115.01,2,1,1,211,"AT RISK"
14735,4,32,6065.69,5,1,1,511,"POTENTIAL LOYALISTS"
12637,68,8,6021.90,3,1,1,311,OTHERS
13097,33,10,6010.42,3,1,1,311,OTHERS
13316,38,4,5977.73,3,2,1,321,OTHERS
14101,74,6,5976.79,2,1,1,211,"AT RISK"
15382,15,6,5955.71,4,1,1,411,"POTENTIAL LOYALISTS"
14505,18,8,5905.64,4,1,1,411,"POTENTIAL LOYALISTS"
14415,2,13,5900.28,5,1,1,511,"POTENTIAL LOYALISTS"
14944,30,12,5900.25,4,1,1,411,"POTENTIAL LOYALISTS"
13209,31,8,5891.61,4,1,1,411,"POTENTIAL LOYALISTS"
13534,3,25,5870.08,5,1,1,511,"POTENTIAL LOYALISTS"
13050,15,17,5836.86,4,1,1,411,"POTENTIAL LOYALISTS"
12720,3,25,5781.73,5,1,1,511,"POTENTIAL LOYALISTS"
15218,11,11,5756.89,5,1,1,511,"POTENTIAL LOYALISTS"
17686,8,7,5739.46,5,1,1,511,"POTENTIAL LOYALISTS"
13178,27,11,5725.47,4,1,1,411,"POTENTIAL LOYALISTS"
16553,164,12,5719.82,2,1,1,211,"AT RISK"
13468,2,37,5704.97,5,1,1,511,"POTENTIAL LOYALISTS"
14110,4,12,5683.15,5,1,1,511,"POTENTIAL LOYALISTS"
14049,17,4,5681.72,4,2,1,421,"POTENTIAL LOYALISTS"
17049,3,9,5659.98,5,1,1,511,"POTENTIAL LOYALISTS"
17716,23,11,5655.99,4,1,1,411,"POTENTIAL LOYALISTS"
13004,12,18,5655.91,5,1,1,511,"POTENTIAL LOYALISTS"
18118,11,26,5653.82,5,1,1,511,"POTENTIAL LOYALISTS"
14688,8,21,5630.87,5,1,1,511,"POTENTIAL LOYALISTS"
17757,2,30,5605.29,5,1,1,511,"POTENTIAL LOYALISTS"
12481,23,10,5596.32,4,1,1,411,"POTENTIAL LOYALISTS"
12839,3,14,5591.42,5,1,1,511,"POTENTIAL LOYALISTS"
16767,31,11,5580.60,4,1,1,411,"POTENTIAL LOYALISTS"
16161,2,19,5575.56,5,1,1,511,"POTENTIAL LOYALISTS"
12539,23,4,5568.35,4,2,1,421,"POTENTIAL LOYALISTS"
15805,24,17,5528.48,4,1,1,411,"POTENTIAL LOYALISTS"
18225,4,12,5509.12,5,1,1,511,"POTENTIAL LOYALISTS"
16609,16,7,5493.46,4,1,1,411,"POTENTIAL LOYALISTS"
16985,18,10,5464.12,4,1,1,411,"POTENTIAL LOYALISTS"
16265,10,9,5447.00,5,1,1,511,"POTENTIAL LOYALISTS"
18198,5,17,5425.56,5,1,1,511,"POTENTIAL LOYALISTS"
12490,6,10,5417.93,5,1,1,511,"POTENTIAL LOYALISTS"
17809,17,12,5411.91,4,1,1,411,"POTENTIAL LOYALISTS"
16701,9,13,5398.30,5,1,1,511,"POTENTIAL LOYALISTS"
17719,38,15,5396.04,3,1,1,311,OTHERS
17850,373,34,5391.21,1,1,1,111,"AT RISK"
16303,26,3,5360.63,4,3,1,431,"POTENTIAL LOYALISTS"
13269,2,15,5346.23,5,1,1,511,"POTENTIAL LOYALISTS"
15150,18,10,5314.47,4,1,1,411,"POTENTIAL LOYALISTS"
17730,4,13,5298.48,5,1,1,511,"POTENTIAL LOYALISTS"
17061,74,11,5232.23,2,1,1,211,"AT RISK"
18226,45,11,5228.05,3,1,1,311,OTHERS
12362,4,10,5226.23,5,1,1,511,"POTENTIAL LOYALISTS"
15046,10,15,5213.77,5,1,1,511,"POTENTIAL LOYALISTS"
16258,46,5,5203.51,3,2,1,321,OTHERS
13756,3,14,5189.52,5,1,1,511,"POTENTIAL LOYALISTS"
16191,3,13,5180.52,5,1,1,511,"POTENTIAL LOYALISTS"
15727,17,7,5178.96,4,1,1,411,"POTENTIAL LOYALISTS"
17858,6,12,5155.66,5,1,1,511,"POTENTIAL LOYALISTS"
13599,2,21,5153.67,5,1,1,511,"POTENTIAL LOYALISTS"
15903,10,7,5126.76,5,1,1,511,"POTENTIAL LOYALISTS"
13941,22,5,5112.96,4,2,1,421,"POTENTIAL LOYALISTS"
17602,3,6,5102.97,5,1,1,511,"POTENTIAL LOYALISTS"
16700,9,13,5076.55,5,1,1,511,"POTENTIAL LOYALISTS"
14562,4,18,5074.77,5,1,1,511,"POTENTIAL LOYALISTS"
15301,51,12,5070.35,3,1,1,311,OTHERS
13139,17,7,5064.94,4,1,1,411,"POTENTIAL LOYALISTS"
12432,43,5,5059.32,3,2,1,321,OTHERS
15719,33,13,5045.61,4,1,1,411,"POTENTIAL LOYALISTS"
17426,9,6,5037.26,5,1,1,511,"POTENTIAL LOYALISTS"
14329,18,7,5014.84,4,1,1,411,"POTENTIAL LOYALISTS"
14755,10,11,5010.28,5,1,1,511,"POTENTIAL LOYALISTS"
12444,22,5,5005.46,4,2,1,421,"POTENTIAL LOYALISTS"
15032,257,3,4959.10,1,2,1,121,"AT RISK"
15547,8,14,4954.84,5,1,1,511,"POTENTIAL LOYALISTS"
12437,2,18,4951.41,5,1,1,511,"POTENTIAL LOYALISTS"
12700,8,4,4939.99,5,2,1,521,"POTENTIAL LOYALISTS"
15786,47,3,4932.20,3,3,1,331,OTHERS
14709,16,13,4921.04,4,1,1,411,"POTENTIAL LOYALISTS"
17133,16,7,4892.24,4,1,1,411,"POTENTIAL LOYALISTS"
12664,9,9,4881.88,5,1,1,511,"POTENTIAL LOYALISTS"
12688,114,1,4873.81,2,5,1,251,"LOYAL CUSTOMER"
14292,8,9,4871.93,5,1,1,511,"POTENTIAL LOYALISTS"
17652,26,12,4867.72,4,1,1,411,"POTENTIAL LOYALISTS"
15738,19,16,4812.42,4,1,1,411,"POTENTIAL LOYALISTS"
13013,2,13,4810.94,5,1,1,511,"POTENTIAL LOYALISTS"
15555,13,16,4805.17,5,1,1,511,"POTENTIAL LOYALISTS"
17365,13,8,4801.56,5,1,1,511,"POTENTIAL LOYALISTS"
15298,3,12,4799.90,5,1,1,511,"POTENTIAL LOYALISTS"
15187,2,16,4777.18,5,1,1,511,"POTENTIAL LOYALISTS"
17690,31,15,4757.95,4,1,1,411,"POTENTIAL LOYALISTS"
12955,2,11,4757.16,5,1,1,511,"POTENTIAL LOYALISTS"
14180,11,25,4748.52,5,1,1,511,"POTENTIAL LOYALISTS"
15152,10,13,4745.69,5,1,1,511,"POTENTIAL LOYALISTS"
16722,18,13,4730.81,4,1,1,411,"POTENTIAL LOYALISTS"
12714,10,5,4708.86,5,2,1,521,"POTENTIAL LOYALISTS"
14159,20,11,4693.01,4,1,1,411,"POTENTIAL LOYALISTS"
14135,2,15,4690.31,5,1,1,511,"POTENTIAL LOYALISTS"
14191,2,13,4684.76,5,1,1,511,"POTENTIAL LOYALISTS"
15291,26,15,4668.30,4,1,1,411,"POTENTIAL LOYALISTS"
14189,3,15,4654.08,5,1,1,511,"POTENTIAL LOYALISTS"
14390,11,9,4652.82,5,1,1,511,"POTENTIAL LOYALISTS"
14286,24,3,4628.75,4,3,1,431,"POTENTIAL LOYALISTS"
16931,6,21,4604.22,5,1,1,511,"POTENTIAL LOYALISTS"
13802,139,3,4599.42,2,2,1,221,"AT RISK"
15093,19,6,4597.02,4,1,1,411,"POTENTIAL LOYALISTS"
14004,44,7,4582.64,3,1,1,311,OTHERS
17613,23,14,4559.15,4,1,1,411,"POTENTIAL LOYALISTS"
17068,13,21,4552.14,5,1,1,511,"POTENTIAL LOYALISTS"
12484,33,6,4541.72,3,1,1,311,OTHERS
13267,3,19,4521.49,5,1,1,511,"POTENTIAL LOYALISTS"
15299,68,7,4507.01,3,1,1,311,OTHERS
17975,16,13,4488.81,4,1,1,411,"POTENTIAL LOYALISTS"
12524,10,8,4485.72,5,1,1,511,"POTENTIAL LOYALISTS"
14426,24,10,4481.67,4,1,1,411,"POTENTIAL LOYALISTS"
16984,89,2,4481.35,2,3,1,231,OTHERS
17364,1,11,4481.18,5,1,1,511,"POTENTIAL LOYALISTS"
12627,11,7,4478.53,5,1,1,511,"POTENTIAL LOYALISTS"
14085,3,18,4448.54,5,1,1,511,"POTENTIAL LOYALISTS"
14534,3,18,4447.05,5,1,1,511,"POTENTIAL LOYALISTS"
13069,1,24,4436.12,5,1,1,511,"POTENTIAL LOYALISTS"
15955,25,14,4416.26,4,1,1,411,"POTENTIAL LOYALISTS"
16626,1,17,4413.10,5,1,1,511,"POTENTIAL LOYALISTS"
15874,64,7,4405.88,3,1,1,311,OTHERS
12712,29,13,4396.13,4,1,1,411,"POTENTIAL LOYALISTS"
13505,73,4,4393.63,2,2,1,221,"AT RISK"
12752,82,1,4366.78,2,5,1,251,"LOYAL CUSTOMER"
16945,22,19,4345.50,4,1,1,411,"POTENTIAL LOYALISTS"
14016,162,4,4341.21,2,2,1,221,"AT RISK"
14800,48,12,4339.74,3,1,1,311,OTHERS
14525,20,9,4332.20,4,1,1,411,"POTENTIAL LOYALISTS"
17567,8,8,4331.48,5,1,1,511,"POTENTIAL LOYALISTS"
18251,88,1,4314.72,2,5,1,251,"LOYAL CUSTOMER"
12347,3,7,4310.00,5,1,1,511,"POTENTIAL LOYALISTS"
15034,16,8,4308.61,4,1,1,411,"POTENTIAL LOYALISTS"
17937,9,7,4301.22,5,1,1,511,"POTENTIAL LOYALISTS"
14422,1,6,4263.64,5,2,1,521,"POTENTIAL LOYALISTS"
12500,24,11,4257.82,4,1,1,411,"POTENTIAL LOYALISTS"
17419,12,12,4226.57,5,1,1,511,"POTENTIAL LOYALISTS"
14277,16,3,4216.20,4,3,1,431,"POTENTIAL LOYALISTS"
15804,1,13,4206.39,5,1,1,511,"POTENTIAL LOYALISTS"
17920,5,17,4204.10,5,1,1,511,"POTENTIAL LOYALISTS"
15971,18,12,4199.85,4,1,1,411,"POTENTIAL LOYALISTS"
12747,3,11,4196.01,5,1,1,511,"POTENTIAL LOYALISTS"
14146,9,5,4191.00,5,2,1,521,"POTENTIAL LOYALISTS"
18041,12,21,4183.39,5,1,1,511,"POTENTIAL LOYALISTS"
12949,31,8,4167.22,4,1,1,411,"POTENTIAL LOYALISTS"
15570,8,12,4165.52,5,1,1,511,"POTENTIAL LOYALISTS"
16549,11,10,4154.64,5,1,1,511,"POTENTIAL LOYALISTS"
13384,31,7,4151.93,4,1,1,411,"POTENTIAL LOYALISTS"
13555,74,4,4149.28,2,2,1,221,"AT RISK"
13988,20,6,4147.96,4,1,1,411,"POTENTIAL LOYALISTS"
15514,13,11,4139.46,5,1,1,511,"POTENTIAL LOYALISTS"
12569,3,32,4124.69,5,1,1,511,"POTENTIAL LOYALISTS"
16592,5,16,4113.68,5,1,1,511,"POTENTIAL LOYALISTS"
17940,50,10,4106.44,3,1,1,311,OTHERS
17377,24,20,4100.92,4,1,1,411,"POTENTIAL LOYALISTS"
16401,2,12,4098.32,5,1,1,511,"POTENTIAL LOYALISTS"
16670,17,11,4095.90,4,1,1,411,"POTENTIAL LOYALISTS"
12749,4,5,4090.88,5,2,1,521,"POTENTIAL LOYALISTS"
14092,8,14,4076.91,5,1,1,511,"POTENTIAL LOYALISTS"
12449,23,4,4067.29,4,2,1,421,"POTENTIAL LOYALISTS"
18087,99,2,4055.72,2,3,1,231,OTHERS
14401,5,13,4051.48,5,1,1,511,"POTENTIAL LOYALISTS"
12656,18,5,4051.17,4,2,1,421,"POTENTIAL LOYALISTS"
12867,27,7,4036.82,4,1,1,411,"POTENTIAL LOYALISTS"
13815,23,4,4027.36,4,2,1,421,"POTENTIAL LOYALISTS"
12841,5,25,4022.35,5,1,1,511,"POTENTIAL LOYALISTS"
12957,10,8,4017.54,5,1,1,511,"POTENTIAL LOYALISTS"
12378,130,1,4008.62,2,5,1,251,"LOYAL CUSTOMER"
14547,4,8,4007.54,5,1,1,511,"POTENTIAL LOYALISTS"
16186,23,12,4006.94,4,1,1,411,"POTENTIAL LOYALISTS"
17769,13,10,3997.98,5,1,1,511,"POTENTIAL LOYALISTS"
15529,23,11,3995.23,4,1,1,411,"POTENTIAL LOYALISTS"
17001,1,11,3989.57,5,1,1,511,"POTENTIAL LOYALISTS"
15416,65,4,3984.32,3,2,1,321,OTHERS
17611,8,15,3984.22,5,1,1,511,"POTENTIAL LOYALISTS"
12779,38,8,3981.36,3,1,1,311,OTHERS
12727,11,7,3980.70,5,1,1,511,"POTENTIAL LOYALISTS"
14299,9,9,3965.62,5,1,1,511,"POTENTIAL LOYALISTS"
13523,34,5,3964.88,3,2,1,321,OTHERS
13183,8,9,3957.78,5,1,1,511,"POTENTIAL LOYALISTS"
17651,12,10,3945.00,5,1,1,511,"POTENTIAL LOYALISTS"
12473,30,5,3938.55,4,2,1,421,"POTENTIAL LOYALISTS"
17593,4,5,3927.34,5,2,1,521,"POTENTIAL LOYALISTS"
14739,5,7,3902.28,5,1,1,511,"POTENTIAL LOYALISTS"
13999,11,12,3901.81,5,1,1,511,"POTENTIAL LOYALISTS"
14291,2,11,3883.25,5,1,1,511,"POTENTIAL LOYALISTS"
18073,115,12,3877.52,2,1,1,211,"AT RISK"
13124,90,3,3866.33,2,2,1,221,"AT RISK"
